ZIP Code,City,Adresse d'arrivée,Distance Km
8930,"8930 Lauwe, Belgique",BRUXELLES,"100,034"
9988,"9988 Waterland-Oudeman, Belgique",BRUXELLES,"100,19"
3670,"3670 Ellikom, Belgique",BRUXELLES,"100,222"
7700,"7700 MOUSCRON, Belgique",BRUXELLES,"100,29"
7641,"7641 Bruyelle, Belgique",BRUXELLES,"100,3"
4031,"4031 Angleur, Belgique",BRUXELLES,"100,38"
4020,"4020 Bressoux, Belgique",BRUXELLES,"100,39"
3668,"3668 Niel-Bij-As, Belgique",BRUXELLES,"100,47"
4102,"4102 Ougrée, Belgique",BRUXELLES,"100,5"
3690,"3690 ZUTENDAAL, Belgique",BRUXELLES,"100,6"
8211,"8211 Aartrijke, Belgique",BRUXELLES,"100,64"
4458,"4458 Fexhe-Slins, Belgique",BRUXELLES,"100,74"
8000,"8000 BRUGGE, Belgique",BRUXELLES,"100,874"
4550,"4550 Villers-Le-Temple, Belgique",BRUXELLES,"100,889"
3920,"3920 LOMMEL, Belgique",BRUXELLES,"101,207"
3730,"3730 Werm, Belgique",BRUXELLES,"101,211"
7502,"7502 Esplechin, Belgique",BRUXELLES,"101,224"
8377,"8377 Meetkerke, Belgique",BRUXELLES,"101,43"
4100,"4100 SERAING, Belgique",BRUXELLES,"101,44"
4570,"4570 Vyle-Et-Tharoul, Belgique",BRUXELLES,"101,45"
8587,"8587 Espierres, Belgique",BRUXELLES,"101,56"
7610,"7610 RUMES, Belgique",BRUXELLES,"101,57"
5620,"5620 Rosée, Belgique",BRUXELLES,"101,65"
4683,"4683 Vivegnis, Belgique",BRUXELLES,"101,653"
7618,"7618 Taintignies, Belgique",BRUXELLES,"101,67"
8880,"8880 Sint-Eloois-Winkel, Belgique",BRUXELLES,"101,69"
5560,"5560 Ciergnon, Belgique",BRUXELLES,"101,71"
3941,"3941 Eksel, Belgique",BRUXELLES,"101,84"
4032,"4032 Chênee, Belgique",BRUXELLES,"101,93"
4030,"4030 Grivegnee, Belgique",BRUXELLES,"101,95"
4680,"4680 OUPEYE, Belgique",BRUXELLES,"102,099"
5580,"5580 Mont-Gauthier, Belgique",BRUXELLES,"102,76"
3740,"3740 Mopertingen, Belgique",BRUXELLES,"102,846"
3746,"3746 Hoelbeek, Belgique",BRUXELLES,"102,85"
7711,"7711 Dottignies, Belgique",BRUXELLES,"103,01"
8460,"8460 Roksem, Belgique",BRUXELLES,"103,19"
4590,"4590 Warzée, Belgique",BRUXELLES,"103,21"
8820,"8820 TORHOUT, Belgique",BRUXELLES,"103,31"
4602,"4602 Cheratte, Belgique",BRUXELLES,"103,36"
3900,"3900 OVERPELT, Belgique",BRUXELLES,"103,42"
5600,"5600 Franchimont, Belgique",BRUXELLES,"103,518"
7608,"7608 Wiers, Belgique",BRUXELLES,"103,7"
2382,"2382 Poppel, Belgique",BRUXELLES,"103,86"
8750,"8750 Zwevezele, Belgique",BRUXELLES,"103,87"
7712,"7712 Herseaux, Belgique",BRUXELLES,"103,9"
4053,"4053 Embourg, Belgique",BRUXELLES,"104,044"
4051,"4051 Vaux-Sous-Chèvremont, Belgique",BRUXELLES,"104,117"
5564,"5564 Wanlin, Belgique",BRUXELLES,"104,29"
5563,"5563 Hour, Belgique",BRUXELLES,"104,35"
7611,"7611 La Glanerie, Belgique",BRUXELLES,"104,38"
7621,"7621 Lesdain, Belgique",BRUXELLES,"104,5"
8480,"8480 ICHTEGEM, Belgique",BRUXELLES,"104,979"
5520,"5520 ONHAYE, Belgique",BRUXELLES,"105,16"
7622,"7622 Laplaigne, Belgique",BRUXELLES,"105,17"
6900,"6900 Aye, Belgique",BRUXELLES,"105,21"
5374,"5374 Maffe, Belgique",BRUXELLES,"105,38"
8340,"8340 DAMME, Belgique",BRUXELLES,"105,42"
7623,"7623 Rongy, Belgique",BRUXELLES,"105,49"
8940,"8940 Geluwe, Belgique",BRUXELLES,"105,52"
4681,"4681 Hermalle-Sous-Argenteau, Belgique",BRUXELLES,"105,6"
4121,"4121 Neuville-En-Condroz, Belgique",BRUXELLES,"105,828"
4560,"4560 Les Avins, Belgique",BRUXELLES,106
4075,"4075 CSM Liege X, Belgique",BRUXELLES,"106,12"
5500,"5500 Falmignoul, Belgique",BRUXELLES,"106,159"
4050,"4050 CHAUDFONTAINE, Belgique",BRUXELLES,"106,166"
5572,"5572 Focant, Belgique",BRUXELLES,"106,25"
4684,"4684 Haccourt, Belgique",BRUXELLES,"106,52"
8421,"8421 Vlissegem, Belgique",BRUXELLES,"106,6"
8890,"8890 Dadizele, Belgique",BRUXELLES,"106,61"
4120,"4120 Ehein, Belgique",BRUXELLES,"106,77"
4624,"4624 Romsée, Belgique",BRUXELLES,"107,07"
4601,"4601 Argenteau, Belgique",BRUXELLES,"107,12"
5523,"5523 Weillen, Belgique",BRUXELLES,"107,229"
4671,"4671 Saive, Belgique",BRUXELLES,"107,251"
7624,"7624 Howardries, Belgique",BRUXELLES,"107,36"
3630,"3630 Opgrimbie, Belgique",BRUXELLES,"107,373"
3680,"3680 Opoeteren, Belgique",BRUXELLES,"107,4"
5524,"5524 Gerin, Belgique",BRUXELLES,"107,43"
5372,"5372 Méan, Belgique",BRUXELLES,"107,515"
4630,"4630 Tignée, Belgique",BRUXELLES,"107,61"
7740,"7740 Warcoing, Belgique",BRUXELLES,"107,63"
4122,"4122 Plainevaux, Belgique",BRUXELLES,"107,88"
3620,"3620 Veldwezelt, Belgique",BRUXELLES,"107,89"
4480,"4480 Clermont-Sous-Huy, Belgique",BRUXELLES,"108,299"
6460,"6460 CHIMAY, Belgique",BRUXELLES,"108,379"
4670,"4670 BLÉGNY, Belgique",BRUXELLES,"108,413"
4631,"4631 Evegnée, Belgique",BRUXELLES,"108,43"
4672,"4672 Saint-Remy, Belgique",BRUXELLES,"108,68"
4577,"4577 MODAVE, Belgique",BRUXELLES,"108,69"
4130,"4130 Tilff, Belgique",BRUXELLES,"108,8"
